,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in,asin,asin_url
372,349,Hard Real-Time Embedded Software Development,Timothy R. Cooper,Na,Na,$69.95,Na,Computer Science,"ASIN : B0BVTFSWSN
Publisher : Independently published (February 15, 2023)
Language : English
Paperback : 507 pages
ISBN-13 : 979-8375117072
Item Weight : 2.37 pounds
Dimensions : 7.5 x 1.15 x 9.25 inches",Na,Na,Na,Na,B0BVTFSWSN,https://www.amazon.com/dp/B0BVTFSWSN/
373,350,"RHCSA Red Hat Enterprise Linux 8 (UPDATED): Training and Exam Preparation Guide (EX200), Second Edition",Asghar Ghori,4.7 out of 5,257 ratings,$50.00,Na,Certification,"Publisher : Endeavor Technologies (November 13, 2020)
Language : English
Paperback : 620 pages
ISBN-10 : 1775062147
ISBN-13 : 978-1775062141
Item Weight : 2.4 pounds
Dimensions : 7.44 x 1.25 x 9.69 inches",Na,Na,Na,Na,1775062147,https://www.amazon.com/dp/1775062147/
374,351,Computer Science Illuminated,Nell Dale,4.4 out of 5,182 ratings,$118.00,$24.36,Computer Science,"Publisher : Jones & Bartlett Learning; 7th edition (January 31, 2019)
Language : English
Paperback : 745 pages
ISBN-10 : 1284155617
ISBN-13 : 978-1284155617
Item Weight : 2.06 pounds
Dimensions : 7.3 x 1 x 9 inches",,Na,Na,Na,1284155617,https://www.amazon.com/dp/1284155617/
375,352,"Workflow Automation with Microsoft Power Automate: Use business process automation to achieve digital transformation with minimal code, 2nd Edition",Aaron Guilmette,4.6 out of 5,40 ratings,$39.99,Na,Networking & Cloud Computing,"Publisher : Packt Publishing; 2nd ed. edition (August 19, 2022)
Language : English
Paperback : 420 pages
ISBN-10 : 1803237678
ISBN-13 : 978-1803237671
Item Weight : 1.59 pounds
Dimensions : 7.5 x 0.95 x 9.25 inches",Na,Na,Na,Na,1803237678,https://www.amazon.com/dp/1803237678/
376,353,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",Sebastian Raschka,4.5 out of 5,410 ratings,$46.79,Na,Computer Science,"Publisher : Packt Publishing; 3rd edition (December 12, 2019)
Language : English
Paperback : 772 pages
ISBN-10 : 1789955750
ISBN-13 : 978-1789955750
Item Weight : 2.87 pounds
Dimensions : 7.5 x 1.74 x 9.25 inches",Na,Na,Na,Na,1789955750,https://www.amazon.com/dp/1789955750/
377,354,About Face: The Essentials of Interaction Design,,4.6 out of 5,405 ratings,$50.00,$30.23,Computer Science,"Publisher : Wiley; 4th edition (September 2, 2014)
Language : English
Paperback : 720 pages
ISBN-10 : 1118766571
ISBN-13 : 978-1118766576
Item Weight : 3.71 pounds
Dimensions : 7.4 x 1.5 x 9.2 inches",,Na,Na,Na,1118766571,https://www.amazon.com/dp/1118766571/
378,355,"Art of Computer Programming, The: Combinatorial Algorithms, Volume 4B",Donald Knuth,4.9 out of 5,30 ratings,$61.27,Na,Programming,"Publisher : Addison-Wesley Professional; 1st edition (October 8, 2022)
Language : English
Hardcover : 736 pages
ISBN-10 : 0201038064
ISBN-13 : 978-0201038064
Item Weight : 3.84 pounds
Dimensions : 7.1 x 1.75 x 9.63 inches",Na,Na,Na,Na,0201038064,https://www.amazon.com/dp/0201038064/
379,356,Artificial Intelligence For Dummies (For Dummies (Computer/Tech)),John Paul Mueller,4.2 out of 5,13 ratings,$30.24,Na,Computer Science,"Publisher : For Dummies; 2nd edition (November 10, 2021)
Language : English
Paperback : 368 pages
ISBN-10 : 1119796768
ISBN-13 : 978-1119796763
Item Weight : 1.1 pounds
Dimensions : 7.38 x 0.83 x 9.25 inches",,Na,Na,Na,1119796768,https://www.amazon.com/dp/1119796768/
380,357,MacBook For Dummies,Mark L. Chambers,4.4 out of 5,314 ratings,$21.99,Na,Hardware & DIY,"Publisher : For Dummies; 9th edition (April 9, 2021)
Language : English
Paperback : 432 pages
ISBN-10 : 1119775663
ISBN-13 : 978-1119775669
Item Weight : 1.27 pounds
Dimensions : 7.4 x 1.1 x 9.1 inches",Na,Na,Na,Na,1119775663,https://www.amazon.com/dp/1119775663/
381,358,"Python Flash Cards: Syntax, Concepts, and Examples",Eric Matthes,4.6 out of 5,414 ratings,$27.95,Na,Programming,"Publisher : No Starch Press; Flc Crds edition (January 15, 2019)
Language : English
Cards : 101 pages
ISBN-10 : 1593278969
ISBN-13 : 978-1593278960
Item Weight : 2.25 pounds
Dimensions : 5.5 x 2 x 7.5 inches",,Na,Na,Na,1593278969,https://www.amazon.com/dp/1593278969/
