,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in
227,"CCNA 200-301 Official Cert Guide, Volume 2",Wendell Odom,4.8 out of 5,842 ratings,$41.13,Na,Certification,"Publisher : Cisco Press; 1st edition (December 22, 2019)
Language : English
Hardcover : 624 pages
ISBN-10 : 1587147130
ISBN-13 : 978-1587147135
Item Weight : 2.65 pounds
Dimensions : 7.5 x 1.6 x 9.2 inches",Na,Na,Na,Part of: Official Cert Guide (24 books)
228,Adobe InDesign Classroom in a Book (2022 release),Kelly Anton,4.6 out of 5,83 ratings,$64.11,Na,Graphics & Design,"Publisher : Pearson; 1st edition (December 27, 2021)
Language : English
Paperback : 448 pages
ISBN-10 : 0137622961
ISBN-13 : 978-0137622962
Reading age : 1 year and up
Item Weight : 1.81 pounds
Dimensions : 7.38 x 0.82 x 9.13 inches",Na,Na,Na,Part of: Classroom in a Book (142 books)
229,The Web Application Hacker's Handbook: Finding and Exploiting Security Flaws,Marcus Pinto,4.7 out of 5,920 ratings,$34.70,Na,Networking & Cloud Computing,"Publisher : Wiley; 2nd edition (September 27, 2011)
Language : English
Paperback : 912 pages
ISBN-10 : 1118026470
ISBN-13 : 978-1118026472
Item Weight : 2.68 pounds
Dimensions : 7.4 x 2 x 9.1 inches",,Na,Na,Na
230,Advances in Financial Machine Learning,Marcos Lopez de Prado,4.4 out of 5,538 ratings,$33.99,Na,Computer Science,"Publisher : Wiley; 1st edition (February 21, 2018)
Language : English
Hardcover : 400 pages
ISBN-10 : 1119482089
ISBN-13 : 978-1119482086
Item Weight : 1.6 pounds
Dimensions : 6 x 1.1 x 9.1 inches",Na,Na,Na,Na
231,QuickBooks 2022 All-in-One For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,4.3 out of 5,289 ratings,$26.67,Na,Accounting,"Publisher : For Dummies; 1st edition (November 22, 2021)
Language : English
Paperback : 640 pages
ISBN-10 : 1119817218
ISBN-13 : 978-1119817215
Item Weight : 1.85 pounds
Dimensions : 7.4 x 1.6 x 9.1 inches",Na,Na,Na,Na
232,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,Cathy Tanimura,4.6 out of 5,78 ratings,$40.49,Na,Databases & Big Data,"Publisher : O'Reilly Media; 1st edition (October 5, 2021)
Language : English
Paperback : 360 pages
ISBN-10 : 1492088781
ISBN-13 : 978-1492088783
Item Weight : 1.2 pounds
Dimensions : 6.75 x 0.75 x 8.75 inches",Na,Na,Na,Na
233,Adobe Illustrator Classroom in a Book (2022 release),Brian Wood,4.7 out of 5,150 ratings,$63.85,Na,Graphics & Design,"Publisher : Pearson; 1st edition (December 27, 2021)
Language : English
Paperback : 480 pages
ISBN-10 : 0137622155
ISBN-13 : 978-0137622153
Item Weight : 2.16 pounds
Dimensions : 7.35 x 1.15 x 9.05 inches",Na,Na,Na,Part of: Classroom in a Book (142 books)
234,Exam Ref AZ-900 Microsoft Azure Fundamentals,Jim Cheshire,4 out of 5,23 ratings,$34.99,Na,Operating Systems,"Publisher : Microsoft Press; 3rd edition (August 31, 2022)
Language : English
Paperback : 236 pages
ISBN-10 : 0137955146
ISBN-13 : 978-0137955145
Item Weight : 15.5 ounces
Dimensions : 7.38 x 0.54 x 9.13 inches",Na,Na,Na,Part of: Exam Ref (67 books)
235,Visualizing Google Cloud: 101 Illustrated References for Cloud Engineers and Architects,Priyanka Vergadia,4.6 out of 5,353 ratings,$26.99,Na,Computer Science,"Publisher : Wiley; 1st edition (April 12, 2022)
Language : English
Paperback : 256 pages
ISBN-10 : 1119816327
ISBN-13 : 978-1119816324
Item Weight : 1.15 pounds
Dimensions : 9.5 x 0.4 x 7.4 inches",Na,Na,Na,Na
236,Microsoft Teams For Dummies,Rosemarie Withee,4.3 out of 5,329 ratings,$17.89,Na,Software,"Publisher : For Dummies; 2nd edition (April 2, 2021)
Language : English
Paperback : 320 pages
ISBN-10 : 1119786223
ISBN-13 : 978-1119786221
Item Weight : 15.4 ounces
Dimensions : 7.38 x 0.73 x 9.25 inches",Na,Na,Na,Na
237,Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,Jim Frost,4.5 out of 5,117 ratings,$23.74,Na,Mathematics,"Publisher : Statistics By Jim Publishing (September 14, 2020)
Language : English
Paperback : 381 pages
ISBN-10 : 173543115X
ISBN-13 : 978-1735431154
Item Weight : 1.12 pounds
Dimensions : 6 x 0.86 x 9 inches",Na,Na,Na,Na
238,"Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,4.7 out of 5,"4,377 ratings",$46.53,Na,Web Development & Design,"Publisher : Wiley; 1st edition (July 8, 2014)
Language : English
Paperback : 1152 pages
ISBN-10 : 1118907442
ISBN-13 : 978-1118907443
Item Weight : 6.04 pounds
Dimensions : 7.4 x 2.6 x 9.3 inches",,Na,Na,Na
239,"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",Jonathan Schwabish,4.4 out of 5,272 ratings,$25.98,Na,Social Sciences,"Publisher : Columbia University Press (February 9, 2021)
Language : English
Paperback : 464 pages
ISBN-10 : 0231193114
ISBN-13 : 978-0231193115
Item Weight : 2.5 pounds
Dimensions : 7.25 x 1 x 9.25 inches",Na,Na,Na,Na
240,PowerShell for Sysadmins: Workflow Automation Made Easy,Adam Bertram,4.7 out of 5,735 ratings,$26.68,Na,Programming,"Publisher : No Starch Press; Illustrated edition (February 4, 2020)
Language : English
Paperback : 320 pages
ISBN-10 : 1593279183
ISBN-13 : 978-1593279189
Item Weight : 1.35 pounds
Dimensions : 7.06 x 0.75 x 9.25 inches",Na,Na,Na,Na
241,Bug Bounty Bootcamp: The Guide to Finding and Reporting Web Vulnerabilities,Vickie Li,4.8 out of 5,128 ratings,$45.19,Na,Networking & Cloud Computing,"Publisher : No Starch Press (December 7, 2021)
Language : English
Paperback : 416 pages
ISBN-10 : 1718501544
ISBN-13 : 978-1718501546
Item Weight : 0.035 ounces
Dimensions : 7 x 0.86 x 9.25 inches",Na,Na,Na,Na
242,Practical Computing for Biologists,Casey W. Dunn,4.7 out of 5,81 ratings,$105.59,$51.42,Science & Mathematics,"Publisher : Sinauer Associates is an imprint of Oxford University Press; First edition (November 5, 2010)
Language : English
Paperback : 564 pages
ISBN-10 : 0878933913
ISBN-13 : 978-0878933914
Item Weight : 2.6 pounds
Dimensions : 9.07 x 1.03 x 7.58 inches",,Na,Na,Na
243,Concrete Mathematics: A Foundation for Computer Science (2nd Edition),Donald Knuth,4.6 out of 5,209 ratings,$80.99,Na,Computer Science,"Publisher : Addison-Wesley Professional; 2nd edition (February 28, 1994)
Language : English
Hardcover : 672 pages
ISBN-10 : 0201558025
ISBN-13 : 978-0201558029
Item Weight : 2.65 pounds
Dimensions : 9.38 x 7.82 x 1.44 inches",Na,Na,Na,Na
244,Mastering Bitcoin: Programming the Open Blockchain,Andreas Antonopoulos,4.7 out of 5,"1,009 ratings",$28.99,Na,Economics,"Publisher : O'Reilly Media; 2nd edition (July 25, 2017)
Language : English
Paperback : 411 pages
ISBN-10 : 1491954388
ISBN-13 : 978-1491954386
Item Weight : 3.53 ounces
Dimensions : 7 x 0.85 x 9.19 inches",,Na,Na,Na
245,"Understanding Distributed Systems, Second Edition: What every developer should know about large distributed applications",Roberto Vitillo,4.6 out of 5,76 ratings,$33.25,Na,Hardware & DIY,"Publisher : Roberto Vitillo (February 23, 2022)
Language : English
Paperback : 344 pages
ISBN-10 : 1838430210
ISBN-13 : 978-1838430214
Item Weight : 1.12 pounds
Dimensions : 6 x 0.78 x 9 inches",Na,Na,Na,Na
246,Coding All-in-One For Dummies (For Dummies (Computer/Tech)),Chris Minnick,4.6 out of 5,22 ratings,$39.99,Na,Programming,"Publisher : For Dummies; 2nd edition (August 2, 2022)
Language : English
Paperback : 912 pages
ISBN-10 : 1119889561
ISBN-13 : 978-1119889564
Item Weight : 2.65 pounds
Dimensions : 7.4 x 2.1 x 9.2 inches",Na,Na,Na,Na
247,"iOS 16 Programming for Beginners: Kickstart your iOS app development journey with a hands-on guide to Swift 5.7 and Xcode 14, 7th Edition",Craig Clayton,4.6 out of 5,22 ratings,$39.99,Na,Operating Systems,"Publisher : Packt Publishing; 7th ed. edition (November 18, 2022)
Language : English
Paperback : 686 pages
ISBN-10 : 180323704X
ISBN-13 : 978-1803237046
Item Weight : 2.56 pounds
Dimensions : 7.5 x 1.55 x 9.25 inches",,Na,Na,Na
248,"Mastering Python Networking: Utilize Python packages and frameworks for network automation, monitoring, cloud, and management, 4th Edition",Eric Chou,5 out of 5,24 ratings,$49.99,Na,Networking & Cloud Computing,"Publisher : Packt Publishing; 4th ed. edition (January 20, 2023)
Language : English
Paperback : 594 pages
ISBN-10 : 180323461X
ISBN-13 : 978-1803234618
Item Weight : 2.22 pounds
Dimensions : 7.5 x 1.34 x 9.25 inches",Na,Na,Na,Na
249,"The C++ Programming Language, 4th Edition",Bjarne Stroustrup,4.6 out of 5,"1,050 ratings",$71.99,Na,Programming Languages,"ASIN : 0321563840
Publisher : Addison-Wesley Professional; 4th edition (May 9, 2013)
Language : English
Paperback : 1376 pages
ISBN-10 : 0275967301
ISBN-13 : 978-0275967307
Item Weight : 4.23 pounds
Dimensions : 7.4 x 1.7 x 9.1 inches",Na,Na,Na,Na
250,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",,4.6 out of 5,443 ratings,$46.79,Na,Computer Science,"Publisher : Packt Publishing; 2nd ed. edition (January 17, 2022)
Language : English
Paperback : 590 pages
ISBN-10 : 1801816611
ISBN-13 : 978-1801816618
Item Weight : 2.2 pounds
Dimensions : 7.5 x 1.33 x 9.25 inches",Na,Na,Na,Na
251,(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide,Mike Chapple,4.5 out of 5,36 ratings,$46.99,Na,Certification,"Publisher : Sybex; 3rd edition (October 4, 2022)
Language : English
Paperback : 416 pages
ISBN-10 : 1119909376
ISBN-13 : 978-1119909378
Item Weight : 1.35 pounds
Dimensions : 7.3 x 1 x 9.2 inches",Na,Na,Na,Na
252,"Mastering Microsoft Power BI: Expert techniques to create interactive insights for effective data analytics and business intelligence, 2nd Edition",,4.7 out of 5,51 ratings,$49.99,Na,Programming,"Publisher : Packt Publishing; 2nd ed. edition (June 30, 2022)
Language : English
Paperback : 712 pages
ISBN-10 : 1801811482
ISBN-13 : 978-1801811484
Item Weight : 2.66 pounds
Dimensions : 7.5 x 1.61 x 9.25 inches",Na,Na,Na,Na
253,The Death of Expertise: The Campaign against Established Knowledge and Why it Matters,Tom Nichols,4.5 out of 5,"2,020 ratings",$14.49,Na,Humanities,"Publisher : Oxford University Press; 1st edition (October 1, 2018)
Language : English
Paperback : 280 pages
ISBN-10 : 0190865970
ISBN-13 : 978-0190865979
Item Weight : 11.6 ounces
Dimensions : 8.2 x 0.7 x 5.5 inches",Na,Na,Na,Na
254,"C#: 3 books in 1 - The Ultimate Beginner, Intermediate & Advanced Guides to Master C# Programming Quickly with No Experience",Mark Reed,4.5 out of 5,177 ratings,$34.19,Na,Programming,"ASIN : B0BCSFB3RG
Publisher : Independently published (September 6, 2022)
Language : English
Paperback : 344 pages
ISBN-13 : 979-8351212449
Item Weight : 1.46 pounds
Dimensions : 7 x 0.78 x 10 inches",,Na,Na,Part of: Computer Programming (28 books)
255,C++ Software Design: Design Principles and Patterns for High-Quality Software,Klaus Iglberger,4.6 out of 5,20 ratings,$51.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (October 25, 2022)
Language : English
Paperback : 435 pages
ISBN-10 : 1098113160
ISBN-13 : 978-1098113162
Item Weight : 1.59 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,Na,Na,Na
