,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
26,https://propzy.vn/mua/nha/hcm/quan-phu-nhuan/id329439,Bán hai căn đôi hẻm xe hơi nhà nở hậu quận Phú Nhuận phường 11,id329439,115 tỷ,"263,27 triệu/m²","Đ.Nguyễn Văn Trỗi, P.11, Q.Phú Nhuận, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['4', '4', '436.8m²', 'Đ.Nam']"
27,https://propzy.vn/mua/nha/hcm/quan-10/id354051,Bán Căn Đôi Mặt tiền Kinh Doanh Đường Ba Tháng Hai - Phường 12 Quận 10,id354051,115 tỷ,"505,93 triệu/m²","Đ.Ba Tháng Hai, P.12, Q.10, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['20', '20', '227.3m²', 'Đ.Nam']"
28,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id345186,"Bán nhà mặt tiền đường Xô Viết Nghệ Tĩnh, phường 25. khu vực đông đúc",id345186,110 tỷ,"308,46 triệu/m²","Đ.Xô Viết Nghệ Tĩnh, P.25, Q.Bình Thạnh,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['3', '3', '356.6m²', 'T.Bắc']"
29,https://propzy.vn/mua/dat-nen/hcm/huyen-nha-be/id346785,Bán 2 Lô Đất Nền Liền Kề Mặt Tiền Đường Xã Long Thới Huyện Nhà Bè,id346785,105 tỷ,"31,62 triệu/m²","Đ.Nguyễn Văn Tạo, X.Long Thới, H.Nhà Bè,","['ic ic-acreage', 'ic ic-compass']","['3320.1m²', 'Đông']"
30,https://propzy.vn/mua/dat-nen/hcm/quan-9/id271191,"Bán lô đất mặt tiền đường 9m gần, phường Phú Hữu - Quận 9.",id271191,105 tỷ,"101,11 triệu/m²","Đ.Bưng Ông Thoàn, P.Phú Hữu, Q.9, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1038.4m²', 'Đ.Bắc']"
31,https://propzy.vn/mua/nha/hcm/quan-tan-binh/id382555,"Bán 2 căn nhà phố, diện tích lớn, mặt tiền kinh doanh, P.11, Tân Bình - Gần ngay ngã tư Bảy Hiền",id382555,100 tỷ,"220,4 triệu/m²","Đ.Lạc Long Quân, P.11, Q.Tân Bình, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['5', '5', '453.7m²', 'Đ.Nam']"
32,https://propzy.vn/mua/nha/hcm/quan-tan-phu/id381077,Bán nhà mặt tiền - Quận Tân Phú- Thuận tiện kinh doanh,id381077,"99,9 tỷ","165,64 triệu/m²","Đ.Thoại Ngọc Hầu, P.Phú Thạnh, Q.Tân Phú,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '603.1m²', 'Đ.Nam']"
33,https://propzy.vn/mua/nha/hcm/quan-1/id328051,BÁN KHÁCH SẠN MẶT TIỀN PHƯỜNG BẾN THÀNH QUẬN 1- ĐANG KINH DOANH THU NHẬP CỐ ĐỊNH,id328051,99 tỷ,"1,13 tỷ/m²","Đ.Nguyễn An Ninh, P.Bến Thành, Q.1, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['26', '27', '87.6m²', 'Đ.Nam']"
34,https://propzy.vn/mua/nha/hcm/quan-11/id304933,"Bán nhà mặt tiền đường nội bộ P.15, Q.11 - Gần Bưu điện Phú Thọ",id304933,98 tỷ,"169,08 triệu/m²","Đ.Lý Thường Kiệt, P.15, Q.11, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '579.6m²', 'T.Bắc']"
35,https://propzy.vn/mua/dat-nen/hcm/quan-thu-duc/id361529,Chính chủ bán gấp lô đất phường Linh Tây - Thủ Đức,id361529,98 tỷ,"65,05 triệu/m²","Đ.Số 7, P.Linh Tây, Q.Thủ Đức, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1506.5m²', 'Đ.Bắc']"
