,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
497,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id301621,"Bán nhà nguyên căn hẻm đường Nơ Trang Long, Bình Thạnh",id301621,"2,03 tỷ","260,25 triệu/m²","Đ.Nơ Trang Long, P.12, Q.Bình Thạnh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '3', '7.8m²', 'T.Nam']"
498,https://propzy.vn/mua/nha/hcm/quan-tan-phu/id414552,Bán nhà hẻm an ninh Phường Hòa Thạnh Quận Tân Phú,id414552,"2,03 tỷ","107,4 triệu/m²","Đ.Trịnh Đình Trọng, P.Phú Trung, Q.Tân Phú,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '18.9m²', 'Đ.Nam']"
499,https://propzy.vn/mua/can-ho/hcm/quan-9/id399640,"Bán căn hộ mới 1 phòng ngủ + của dự án RICCA phường Phú Hữu, Quận 9",id399640,"2,05 tỷ","36,15 triệu/m²","Đ.Gò Cát, P.Phú Hữu, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '56.7m²', 'T.Nam']"
500,https://propzy.vn/mua/dat-nen/hcm/huyen-binh-chanh/id350950,Bán Đất Nền Bình Chánh - Gần chợ và siêu thị,id350950,"2,05 tỷ","24,4 triệu/m²","Đ.Lô 2, X.Lê Minh Xuân, H.Bình Chánh, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['84m²', 'Tây']"
501,https://propzy.vn/mua/can-ho/hcm/quan-2/id187351,Bán căn Officetel dự án Homyland 3 phường Bình Trưng Đông quận 2.,id187351,"2,05 tỷ","40,86 triệu/m²","Đ.Nguyễn Duy Trinh, P.Bình Trưng Đông,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '50.17m²', 'Đ.Bắc']"
502,https://propzy.vn/mua/can-ho/hcm/quan-phu-nhuan/id312175,Bán căn hộ chung cư Orchard ParkView tầng thấp,id312175,"2,05 tỷ","68,33 triệu/m²","Đ.Hồng Hà, P.9, Q.Phú Nhuận, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['1', '1', '30m²']"
503,https://propzy.vn/mua/nha/hcm/quan-go-vap/id246877,Bán nhà 2 mặt hẻm quận Gò Vấp - thuận tiện di chuyển,id246877,"2,05 tỷ","347,45 triệu/m²","Đ.Thống Nhất, P.16, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '5.9m²', 'T.Bắc']"
504,https://propzy.vn/mua/can-ho/hcm/quan-go-vap/id408684,"Bán căn hộ quận Gò Vấp - Chung cư Hà Kiều - View đẹp, thoáng mát - Đầy đủ tiện ích",id408684,"2,05 tỷ","38,38 triệu/m²","Đ.số 20, P.5, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '53.4m²', 'Đ.Nam']"
505,https://propzy.vn/mua/nha/hcm/quan-11/id239737,"Bán Nhà Riêng Quận 11 - Nhà Đang Cho Thuê 4,5 triệu/ Tháng",id239737,"2,05 tỷ","213,54 triệu/m²","Đ.Lạc Long Quân, P.5, Q.11, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '9.6m²', 'Đ.Bắc']"
506,https://propzy.vn/mua/nha/hcm/quan-3/id383450,BÁN NHÀ NHỎ XINH HẺM THÔNG THOÁNG PHƯỜNG 8 QUẬN 3 ,id383450,"2,05 tỷ","246,98 triệu/m²","Đ.Võ Thị Sáu, P.8, Q.3, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '8.3m²', 'Tây']"
